state,budget_per_capita_2016,budget_per_capita_2017
Connecticut,2635.8064,2617.3983
Maine,1819.8391,1916.9384
Massachusetts,2267.6889,2366.0509
New Hampshire,2176.1249,2200.6665
Rhode Island,2282.7751,2378.4038
Vermont,2576.1893,2640.9686
Delaware,2052.3627,2142.2142
District of Columbia,3791.3322,3991.2707
Maryland,2137.905,2274.8099
New Jersey,3041.1567,3067.7096
New York,3366.4321,3516.4716
Pennsylvania,2207.6103,2308.2622
Illinois,2069.7303,2080.6281
Indiana,1501.5969,1565.238
Michigan,1702.9298,1747.4506
Ohio,1990.0007,2086.5514
Wisconsin,1919.2848,1959.3168
Iowa,2101.4723,2125.5768
Kansas,1938.9803,2070.2018
Minnesota,2213.4248,2335.0602
Missouri,1692.9566,1700.0268
Nebraska,2376.3543,2455.9285
North Dakota,2477.6912,2388.3503
South Dakota,1656.8873,1731.8846
Alabama,1582.2686,1610.1354
Arkansas,1700.7188,1708.6064
Florida,1326.5462,1351.4676
Georgia,1835.0838,1907.3478
Kentucky,1604.7739,1643.2888
Louisiana,1693.8791,1729.8401
Mississippi,1531.8768,1545.1741
North Carolina,1398.3897,1464.0782
South Carolina,1735.1431,1793.9447
Tennessee,1402.1655,1457.7405
Virginia,1951.5514,2072.2692
West Virginia,1684.2551,1704.6544
Arizona,1128.9989,1169.6554
New Mexico,1748.2336,1772.1584
Oklahoma,1502.7376,1462.5793
Texas,1901.5413,1996.7151
Colorado,1696.9781,1771.2185
Idaho,1215.3463,1281.9563
Montana,1764.8323,1768.9432
Utah,1582.2397,1650.5884
Wyoming,3443.127,3291.6789
California,2005.8529,2190.0462
Nevada,1447.1544,1558.4098
Oregon,1745.6477,1828.1361
Washington,2037.659,2120.2021
Alaska,3186.9993,3167.2211
Hawaii,1485.2854,1450.9684